epoch,phase,accuracy,loss
1,Validation,0.500457763671875,0.8128038604045287
2,Validation,0.500457763671875,0.8128038604045287
3,Validation,0.49957275390625,0.8136857708450407
4,Validation,0.500457763671875,0.81278577062767
5,Validation,0.500457763671875,0.8127947653410956
6,Validation,0.500457763671875,0.8128038608119823
7,Validation,0.500457763671875,0.8128038604045287
8,Validation,0.4996337890625,0.8136155764805153
9,Validation,0.499542236328125,0.8137194331502542
10,Validation,0.499542236328125,0.8137194331502542
11,Validation,0.499542236328125,0.8137194331502542
12,Validation,0.500457763671875,0.8128038604045287
13,Validation,0.499542236328125,0.8137194331502542
14,Validation,0.500457763671875,0.8128038604045287
15,Validation,0.500457763671875,0.8128038604045287
16,Validation,0.499542236328125,0.8137194331502542
17,Validation,0.500457763671875,0.8128039087168872
18,Validation,0.499267578125,0.8139918824308552
19,Validation,0.500457763671875,0.8128038604045287
20,Validation,0.500457763671875,0.8128038604045287
21,Validation,0.500457763671875,0.812798265600577
22,Validation,0.500457763671875,0.8128038604045287
23,Validation,0.500457763671875,0.8128038604045287
24,Validation,0.500457763671875,0.8128038604045287
1,Training,0.4996223449707031,0.8132169315213105
2,Training,0.5008621215820312,0.8119915062125074
3,Training,0.4989051818847656,0.8139753916912014
4,Training,0.5010795593261719,0.8118191830581054
5,Training,0.5002632141113281,0.8128260154189775
6,Training,0.5017547607421875,0.811328119962127
7,Training,0.5006065368652344,0.8123202021088218
8,Training,0.499114990234375,0.8137926209310535
9,Training,0.49973297119140625,0.8132894946757006
10,Training,0.4981346130371094,0.8148442351375706
11,Training,0.501190185546875,0.8119557548052398
12,Training,0.4983940124511719,0.814696137298597
13,Training,0.4996757507324219,0.8134263626852771
14,Training,0.5005302429199219,0.8125903824839042
15,Training,0.49971771240234375,0.8131898746505613
16,Training,0.4996376037597656,0.8135094370663865
17,Training,0.5006523132324219,0.812476530103595
18,Training,0.5006179809570312,0.8125538198219147
19,Training,0.4991874694824219,0.8139804146485403
20,Training,0.49786376953125,0.8153066478989786
21,Training,0.500244140625,0.8128826155298157
22,Training,0.5002670288085938,0.8128097336593783
23,Training,0.4968681335449219,0.8162111536075827
24,Training,0.4999046325683594,0.8131670939037576
